Gene_id	Description	T5min_1	T5min_2	T5min_3	T15min_1	T15min_2	T15min_3	T4h_1	T4h_2	T4h_3	T8h_1	T8h_2	T8h_3	T12h_1	T12h_2	T12h_3	T24h_1	T24h_2	T24h_3	T48h_1	T48h_2	T48h_3	T72h_1	T72h_2	T72h_3	T120h_1	T120h_2	T120h_3	T221h_1	T221h_2	T221h_3	T288h_1	T288h_2	T288h_3	T290h_1	T290h_2	T290h_3	T292h_1	T292h_2	T292h_3	T294h_1	T294h_2	T294h_3	T296h_1	T296h_2	T296h_3	T296h_1prim	T296h_2prim	T296h_3prim
CEG35083	hypothetical_protein	41	54	34	46	36	35	2	0	4	0	0	0	0	0	0	1	0	1	2	0	2	0	0	0	0	0	0	11	0	9	19	40	9	15	19	26	28	15	16	19	4	20	19	28	18	15	35	11
CEG35084	serine_protease_v8	4766	5027	6670	4194	5051	5418	16	37	41	33	53	59	24	14	39	34	1	30	12	17	1	0	7	12	9	4	7	125	27	67	278	253	143	105	237	201	179	147	170	162	163	294	1372	15647	527	22934	10251	17929
CEG35085	Pleckstrin_homology-like_domain	818	870	1055	957	1182	971	11	44	47	21	27	15	15	8	3	6	9	4	7	6	3	0	0	2	9	11	17	153	43	188	150	240	147	125	250	220	129	118	141	227	170	324	1248	2418	261	3278	3009	4197
CEG35086	hypothetical_protein	472	316	268	314	317	218	0	6	0	0	0	0	0	2	0	0	0	4	1	0	0	0	0	0	0	1	0	19	5	10	41	28	5	15	41	15	10	10	10	3	1	8	10	110	0	69	61	591
CEG35087	hypothetical_protein	5993	4399	4549	5874	6029	5005	24	8	30	17	44	27	8	20	12	8	1	21	6	12	5	5	0	4	0	3	6	91	20	59	117	179	119	68	112	137	138	156	173	527	242	469	5204	9989	708	12681	7285	11122
CEG35088	nuclear_pore_complex_protein_nup107_isoform_x1	382	477	638	478	672	734	40	51	62	22	47	17	23	20	21	3	5	29	46	55	22	17	25	54	105	81	132	823	193	816	1154	1468	693	851	1224	1581	943	843	1010	967	830	1294	2092	3974	1060	3422	4851	4871
CEG35089	Mannose-binding_lectin	355	446	601	382	435	550	5	2	6	0	0	2	0	0	0	10	0	0	1	5	0	0	6	0	4	7	5	96	30	79	145	248	142	89	119	144	214	151	135	349	164	328	775	1129	404	1516	1505	1704
CEG35090	Jacalin-like_lectin_domain-containing_protein	537	814	683	553	753	715	6	2	4	1	3	0	0	0	0	1	0	0	1	19	0	4	5	11	18	5	2	122	36	121	156	343	210	106	199	192	234	161	170	410	163	313	1164	2076	415	2627	2410	3187
CEG35091	Putative_transcriptional_regulator_DJ-1	624	797	614	766	792	653	10	24	26	0	13	2	1	0	5	3	0	10	30	65	6	31	28	40	118	64	111	958	198	736	1717	2216	1207	953	1477	1607	899	887	940	742	887	1099	532	518	717	572	681	695
CEG35092	splicing_factor_3a	788	771	1154	903	1260	1276	10	31	9	6	19	25	15	23	39	23	8	33	29	44	25	12	28	20	111	51	102	708	146	809	1006	1275	701	686	1139	1221	752	722	882	724	570	1089	749	1064	493	1212	1307	1059
CEG35093	sumo_ligase	624	562	910	584	903	937	18	45	38	5	34	11	18	10	24	12	4	17	31	19	12	14	4	21	53	34	35	293	79	326	625	687	418	383	741	821	446	459	465	486	413	698	813	1368	410	1457	1348	1740
CEG35094	Serine/threonine_protein_kinase	1769	2149	1609	1279	1332	1493	12	42	46	14	71	42	27	16	36	30	17	25	29	42	23	22	38	40	156	42	98	542	149	516	826	1049	674	531	874	981	708	684	598	1338	881	1436	1103	1444	939	1856	1470	1643
CEG35095	hypothetical_protein	8	5	5	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	2	3	0	0	1	0	5	2	7	3	3	14	13
CEG35096	ubiquitin-conjugating_enzyme_e2-16_kda	4908	5466	8085	7359	8807	8215	131	272	507	148	310	231	161	171	272	147	33	184	283	422	135	199	179	305	1300	688	1074	5474	1227	4797	5766	8109	4606	4206	7218	6384	5374	4203	4716	6470	5919	8087	9632	12535	6116	12432	11741	10167
CEG35097	Zinc_finger,_TAZ-type	179	192	240	226	275	349	1	5	13	2	9	9	4	9	9	2	7	1	10	6	6	1	6	12	45	11	22	178	54	187	289	445	243	181	426	375	246	217	273	238	196	306	205	296	152	334	388	553
CEG35098	ras-related_protein_rab-32-like	125	175	257	178	257	208	5	14	21	0	31	11	26	28	14	16	6	20	24	61	18	34	26	34	148	73	105	827	257	817	1067	1392	724	663	1111	1244	777	646	732	662	724	964	376	382	524	404	607	533
CEG35099	Uncharacterized_conserved_protein,_contains_DENN_and_RUN_domains	379	466	519	325	471	508	6	30	61	5	22	15	17	24	17	11	0	5	14	17	1	5	12	14	74	53	46	318	56	407	506	667	346	362	756	552	374	324	383	402	312	498	631	1006	417	1099	1157	1077
CEG35100	atp-dependent_rna_helicase	556	607	766	638	813	809	30	42	96	42	105	59	37	31	53	37	5	33	70	70	27	29	36	66	107	73	124	1146	172	911	1191	1225	780	701	1227	1112	753	530	530	706	657	861	605	626	774	656	807	962
CEG35101	hypothetical_protein	256	245	285	391	438	343	5	4	4	5	15	9	19	10	12	12	1	13	17	30	1	7	12	18	28	29	25	244	59	255	366	419	202	262	531	571	343	285	333	267	311	556	457	597	174	484	437	588
CEG35102	hypothetical_protein	284	248	253	308	285	250	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	1	2	1	9	1	1	60	13	36	108	152	62	58	65	174	79	104	86	107	80	170	57	96	43	55	99	202
CEG35103	drug_metabolite_transporter_superfamily	1111	1078	2021	1222	2004	2181	1	0	17	0	0	12	2	2	0	1	0	12	10	15	0	6	8	18	77	26	37	456	94	467	602	702	313	488	760	925	678	561	695	441	404	682	505	1073	308	1146	1368	1839
CEG35104	hypothetical_protein	81	141	130	96	132	160	2	20	8	15	0	16	3	9	5	9	0	7	18	15	5	8	12	7	27	12	39	150	64	194	337	337	172	183	377	379	196	204	220	218	262	463	130	292	153	290	319	478
CEG35105	vacuolar_protein_sorting_39	368	411	549	391	589	678	27	29	44	10	27	26	14	27	14	19	8	26	50	45	6	20	23	58	204	62	127	744	196	764	1118	1458	699	688	1449	1374	803	692	847	633	657	952	594	883	516	880	1084	1880
CEG35106	dna_photolyase	33625	23770	28958	35989	36009	27307	10	10	14	3	10	6	13	13	14	9	5	1	8	23	0	5	27	20	75	34	126	368	121	399	398	423	248	112	260	182	153	99	150	129	140	215	268	3248	457	2721	1413	13953
CEG35107	flagellar_inner_arm_dynein_1_heavy_chain_alpha	4406	5432	3984	3932	4897	4328	2	5	1	1	0	2	0	2	0	2	0	0	0	1	0	7	0	0	0	0	2	479	42	419	1066	1538	712	637	989	1325	1583	1261	1382	1848	1041	1898	1001	1977	500	1724	1729	2980
CEG35108	hypothetical_protein	2031	1155	1216	1442	1096	1079	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	3	8	1	0	2	5	19	1	11	13	94
CEG35109	hypothetical_protein	5	7	12	13	21	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
CEG35110	hypothetical_protein	22	12	22	10	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	6	15	1	19	34	53	19	15	27	16	17	27	9	31	18	52	56	59	23	140	147	89
CEG35111	WW_domain_binding_protein_WBP-2,_contains_GRAM_domain	4184	2807	2510	3067	2353	2229	15	12	6	0	0	3	0	6	3	1	10	0	1	0	0	1	1	2	0	0	0	18	2	12	31	30	12	21	10	23	42	35	55	71	46	62	638	1024	63	1174	822	1109
CEG35112	regulator_of_nonsense_transcripts_1_homolog	1092	925	1548	1013	1647	1852	6	10	37	11	30	29	4	17	14	19	4	29	23	59	11	21	40	34	144	72	104	536	184	642	953	1483	707	749	1323	1541	1024	898	974	1008	775	1295	2248	3937	821	4212	4379	4905
CEG35113	hypothetical_protein	202	235	186	267	199	205	4	5	21	3	3	13	10	4	2	4	0	4	6	14	2	8	7	14	24	14	32	319	84	320	410	591	222	372	628	525	364	279	325	526	570	657	276	272	254	338	296	407
CEG35114	znf143_protein	662	690	930	748	886	757	12	3	16	5	11	14	16	2	7	0	3	5	25	45	9	29	10	17	36	31	65	368	84	276	347	498	216	288	793	576	128	77	163	84	158	206	109	59	334	70	119	167
CEG35115	EF-hand_domain_pair	2677	1921	1720	2449	2048	1491	3	2	0	0	0	0	0	0	0	1	5	0	22	27	6	8	8	7	41	17	28	570	166	509	692	843	346	596	1149	1196	732	722	757	934	833	1366	2761	4258	766	4066	3378	4795
CEG35116	endoplasmic_reticulum	16	22	25	22	30	33	1	0	0	0	3	0	0	0	0	3	0	2	13	37	8	12	14	30	99	25	81	353	131	434	514	718	237	314	564	696	394	272	373	153	232	301	183	335	189	293	460	362
CEG35117	hypothetical_protein	11	13	24	14	9	19	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	15	2	9	7	10	10	3	21	7	3	8	7	13	2	20	15	24	0	29	9	20
CEG35118	hypothetical_protein	11	3	4	6	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	3	1	1	2	5	2	0	4	0	2	10	6	14	8	16	23	17
CEG35119	hypothetical_protein	7	9	8	16	10	10	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	4	0	10	3	7	1	7	5	33	10	18	4	23	10	31	111	143	23	126	115	173
CEG35120	dead_box_helicase	276	249	283	453	454	381	98	106	233	97	268	208	113	80	94	40	22	73	62	109	55	28	36	84	193	124	204	863	216	751	828	1032	702	569	973	1064	643	498	576	526	584	756	498	628	523	702	667	920
CEG35121	hypothetical_protein	8	28	10	25	14	18	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	5	2	3	0	0	30	4	15	44	64	31	31	41	61	46	52	31	59	34	45	39	62	32	38	68	93
CEG35122	conserved_hypothetical_protein	4737	4580	7524	4552	6455	7074	11	8	8	5	23	7	19	0	16	18	2	12	21	26	0	1	13	16	50	11	26	243	63	283	432	476	246	256	464	550	280	292	398	360	304	663	977	1349	281	2372	2282	3320
CEG35123	Ankyrin_repeat-containing_domain	800	1173	1189	534	869	881	8	22	11	27	41	4	37	15	19	1	1	5	4	3	2	7	6	0	0	2	4	206	32	161	337	479	275	241	547	380	233	274	373	309	306	685	2195	3087	486	6744	4578	3779
CEG35124	hypothetical_protein	210	260	218	137	179	205	3	0	1	4	0	0	1	0	7	0	2	0	0	1	0	0	1	0	0	0	1	31	3	20	50	108	41	28	87	78	50	78	73	76	61	163	426	540	136	1420	822	674
CEG35125	hypothetical_protein	81	100	112	63	90	108	6	7	19	2	1	0	0	0	3	1	6	0	0	0	1	0	0	0	7	2	9	24	7	34	53	68	34	38	64	59	33	29	40	43	36	65	145	307	43	610	401	351
CEG35126	hypothetical_protein	98	101	132	79	72	116	11	6	13	0	0	0	2	2	0	0	2	2	0	0	0	0	0	4	0	0	1	16	11	27	32	40	13	14	40	28	6	11	32	32	11	54	176	286	73	604	446	436
CEG35127	hypothetical_protein	97	123	138	91	104	110	0	5	1	3	3	0	0	4	3	2	0	0	0	0	0	0	0	0	4	0	2	10	1	17	20	26	9	15	40	21	13	40	27	31	21	49	148	233	43	478	438	297
CEG35128	P-loop_containing_nucleoside_triphosphate_hydrolase	3729	4214	5132	3635	5234	5365	11	23	51	38	178	139	82	63	119	66	40	70	74	98	15	29	28	30	107	56	68	783	156	680	1003	1306	574	763	1041	1114	1043	756	725	1267	936	1447	2762	6113	1011	8192	6899	10717
CEG35129	wee_protein_kinase	5303	5684	5294	6915	6591	4904	152	266	318	247	556	374	260	197	208	268	103	345	875	1844	673	769	787	1508	4104	2092	3260	11189	3524	10119	12705	14598	8406	7073	10841	10844	6622	4639	5818	5799	7170	8306	5207	5121	7045	8028	6968	8361
CEG35130	wee_protein_kinase	88	130	113	168	169	146	9	10	6	2	11	0	0	0	5	0	0	2	6	12	0	1	1	7	32	13	4	58	19	94	125	124	93	69	116	106	67	34	42	15	20	32	6	2	41	0	3	2
CEG35131	hypothetical_protein,_variant_1	3941	4263	5389	4192	5763	5762	54	28	92	13	41	26	16	8	16	20	18	11	40	63	20	17	16	27	101	45	93	740	189	794	939	996	601	594	1306	1240	496	463	517	323	402	716	329	456	364	600	535	762
CEG35132	hypothetical_protein	536	622	662	517	570	611	4	6	17	27	82	47	35	28	33	37	4	42	24	33	12	14	19	23	77	25	59	548	116	458	584	592	325	319	569	647	280	239	274	248	315	451	265	271	384	281	318	309
CEG35133	hypothetical_protein	235	304	216	208	247	233	3	3	5	2	11	21	25	5	7	9	0	6	13	29	8	13	15	12	34	20	35	170	43	153	239	266	146	131	231	188	132	59	82	37	73	112	30	34	133	46	65	112
CEG35134	histone-lysine_n	1389	1642	1906	1416	1771	2062	50	64	145	32	87	77	43	23	30	12	8	23	51	59	19	28	26	56	170	89	118	595	108	589	993	1136	690	473	1077	862	409	321	423	424	311	601	748	1195	775	1312	1446	1437
CEG35135	Uncharacterized_conserved_protein,_contains_TPR_repeats	449	730	714	701	836	905	14	41	54	33	53	47	37	14	30	21	16	37	30	66	38	18	43	51	150	85	98	782	153	488	755	835	458	412	671	556	473	344	389	500	452	584	719	1028	574	1030	1228	1327
CEG35136	Cyclin_D-interacting_protein_GCIP	450	604	674	820	834	822	19	4	8	8	28	15	28	12	15	18	6	23	25	52	11	9	14	12	94	31	74	785	158	629	799	979	559	759	926	1208	917	828	941	787	748	1200	648	780	417	723	718	684
CEG35137	pyridoxal_biosynthesis_lyase_pdxs	759	761	850	1025	1260	1274	6	21	50	18	64	9	25	26	46	43	6	60	53	62	64	55	53	122	215	92	177	388	81	335	562	950	532	325	512	480	343	289	345	456	446	564	358	297	461	193	508	395
CEG35138	protein	2558	2302	2200	2725	2705	2094	13	31	45	15	41	10	16	2	23	5	7	5	18	23	14	6	6	12	34	8	11	106	40	140	197	258	137	88	202	210	125	109	134	162	86	283	982	1157	211	1384	911	1462
CEG35139	hypothetical_protein	534	484	511	662	715	626	29	45	67	8	16	10	5	9	6	4	7	3	23	11	6	6	7	15	42	15	43	175	50	227	325	352	201	191	374	344	207	137	197	171	142	190	64	146	93	86	192	312
CEG35140	RIB43A	7901	6178	6075	10006	9060	6757	2	10	13	0	13	3	8	3	0	0	2	4	16	11	8	6	3	3	31	17	14	110	36	144	220	251	139	121	230	253	148	127	143	148	102	255	352	1520	139	1626	902	3396
CEG35141	atp-dependent_clp_atp-binding_subunit	6894	6524	10604	6948	9848	10828	0	14	25	9	26	14	3	5	1	2	8	9	17	44	0	18	4	6	89	29	89	1078	180	1080	1482	1958	1059	938	2025	2000	1209	1161	1392	1582	1329	2429	4922	8727	1502	11546	9644	10914
CEG35142	PDZ_domain	869	1149	1134	852	1253	1390	154	269	345	46	169	108	53	62	90	28	13	32	23	47	11	3	11	20	71	20	65	341	92	369	390	553	361	327	613	561	373	281	340	414	344	599	875	1319	421	1340	1313	1269
CEG35143	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
CEG35144	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CEG35145	hypothetical_protein	1233	1627	1157	1720	1520	1184	216	436	783	159	391	366	140	162	163	85	30	134	75	81	42	21	76	66	264	157	205	1195	271	1029	945	1847	911	987	1374	1258	1032	1156	1112	2659	2140	3577	13361	19576	2574	16021	15381	11296
CEG35146	hypothetical_protein	20	8	10	22	10	10	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	0	1	5	8	1	0	2	7	4	5	9	9	6	51	55	5	73	100	69
CEG35147	Uncharacterized_conserved_protein,_contains_Josephin_domain	1384	820	800	962	737	791	10	4	0	0	0	2	0	0	0	0	0	3	0	2	2	0	0	4	2	9	4	119	22	121	195	169	72	103	113	181	141	105	140	62	76	115	99	119	50	210	93	150
CEG35148	choline_transporter-like_protein	3769	1511	2008	2566	2578	2313	5	2	8	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	6	3	9	1	0	0	0	6	2	8	1	2	9	3	17	232	493	20	685	326	440
CEG35149	hypothetical_protein	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	0	13	3	1	6	5	8	0	3	5	2	0	5	0	1	0	0	6	4
CEG35150	hypothetical_protein	3	13	1	27	18	25	14	31	45	12	11	6	5	1	8	2	2	10	7	14	6	1	9	14	10	12	26	118	23	93	160	102	82	50	94	66	65	26	24	34	65	48	21	3	114	4	8	78
CEG35151	hypothetical_protein	63	43	66	37	36	48	42	64	104	44	56	33	65	48	50	40	28	38	26	112	41	30	57	53	301	112	256	1481	327	917	825	1082	649	278	320	257	582	220	168	831	503	535	282	266	1401	141	264	830
CEG35152	dead_deah_box_rna	346	188	233	292	327	221	89	98	218	51	113	75	43	40	32	30	19	46	52	136	42	32	48	73	119	56	152	654	196	719	1012	1383	824	512	983	1108	608	477	452	459	481	605	549	719	411	591	661	1101
CEG35153	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
CEG35154	Chloroperoxidase	22	15	11	13	20	9	0	2	0	0	2	0	0	0	2	3	0	0	25	56	0	47	91	52	305	130	231	40	115	179	177	170	51	58	105	90	69	22	44	20	59	66	9	2	21	3	5	4
CEG35155	hypothetical_protein	81	53	78	100	114	123	3	3	0	1	9	0	1	0	0	2	0	0	1	4	0	0	3	0	1	0	2	18	1	22	42	33	24	18	44	61	15	18	22	6	15	26	42	47	23	31	52	53
CEG35156	replication_factor_c_subunit_5	79	108	137	136	163	164	0	8	5	2	0	0	1	1	1	2	4	3	7	24	14	16	9	17	44	17	55	242	75	226	256	366	181	200	341	330	178	123	170	115	138	197	50	44	162	53	105	103
CEG35157	translation_elongation_factor_1	473	522	710	401	521	671	3	6	11	10	44	14	1	10	35	11	9	28	69	59	44	25	23	65	257	130	252	896	136	933	1228	1532	896	777	1619	1391	780	687	827	708	754	1018	758	1020	852	1104	1335	995
CEG35158	methyltransferase-like_protein_13_isoform_x1	242	472	427	243	302	383	2	3	5	0	11	0	0	0	3	2	0	0	1	8	2	5	8	8	29	12	17	99	12	88	113	113	77	47	102	74	35	24	34	46	47	40	102	212	120	307	290	338
CEG35159	protein_tyrosine_receptor_type	1414	2329	2098	1419	1916	2022	5	16	17	13	19	23	4	0	12	5	0	11	14	14	3	4	13	33	49	32	49	210	15	256	439	439	267	145	371	268	190	121	161	243	236	342	770	1345	482	1850	1386	1398
CEG35160	hypothetical_protein	172	249	186	213	224	175	0	0	3	0	0	0	0	3	0	5	3	6	9	5	0	0	3	11	2	9	2	25	10	41	40	37	30	19	38	32	6	12	3	20	28	28	24	48	21	41	44	75
CEG35161	hypothetical_protein	379	226	290	412	369	281	0	7	11	6	6	2	7	0	7	20	8	14	10	7	2	0	3	4	26	9	8	65	14	97	69	124	50	36	59	52	34	16	48	58	81	90	141	201	57	167	144	209
CEG35162	regulator_of_g-protein_signaling_6-like_isoform_x1	31512	23618	20639	31915	27016	20804	118	322	346	4	19	20	10	11	15	7	0	3	3	1	0	0	4	2	0	0	1	18	5	7	53	58	21	57	112	72	39	72	82	82	51	106	1218	3623	136	3112	2371	4961
CEG35163	Domain_of_unknown_function_DUF4211	704	621	712	912	1080	763	8	25	62	19	51	36	46	22	24	40	10	16	36	86	15	26	21	25	154	85	129	812	206	783	1059	1278	742	844	1571	1346	949	633	747	767	783	1156	585	614	530	509	533	774
CEG35164	RxLR-like_protein	184	214	249	200	263	332	38	34	48	50	99	85	32	28	30	36	17	34	10	17	3	6	3	28	68	33	55	278	64	317	534	741	432	277	665	519	346	270	380	432	370	509	593	744	398	773	874	733
CEG35165	exopolysaccharide_phosphotransferase	604	660	990	765	1163	1314	23	38	59	53	105	72	75	43	86	46	20	48	51	29	24	12	4	8	70	58	69	316	72	348	549	1054	580	539	984	1009	856	945	873	2141	1310	2056	3572	4998	1241	4501	4812	5123
CEG35166	hypothetical_protein	2	0	3	0	5	2	0	0	3	4	4	0	0	0	3	0	6	0	4	1	0	0	0	2	7	3	6	17	6	12	17	19	8	3	9	17	11	17	8	38	10	44	35	59	13	22	66	60
CEG35167	ste_ste20_fray_protein_kinase	1837	2004	2326	2473	2929	2562	32	50	54	25	87	53	65	22	60	27	19	62	130	141	62	41	58	90	497	245	377	3057	765	2781	3840	4645	2525	2854	4720	5137	3299	2912	3175	2875	2753	4118	3301	3834	2075	3551	3877	3850
CEG35168	hypothetical_protein	51	51	47	93	146	150	15	18	57	18	38	19	14	20	15	7	8	10	21	45	8	12	21	18	159	84	89	1095	186	970	1124	2418	1188	771	1220	805	823	467	423	1135	670	910	1627	1758	1207	1118	1366	1747
CEG35169	diaminopimelate_decarboxylase	314	419	504	290	452	515	4	0	3	1	2	5	4	4	7	20	6	15	55	33	12	13	16	22	109	55	96	650	152	763	1000	1446	608	761	1410	1438	980	884	965	952	789	1520	1078	1338	753	1744	1943	1286
CEG35170	Protein_of_unknown_function_DUF1042	2248	1857	1607	1888	1650	1482	7	10	3	0	1	0	2	1	4	2	0	0	0	6	1	4	0	0	7	1	6	243	72	247	475	382	236	286	519	607	437	476	443	368	376	642	2925	2929	348	3659	2573	2181
CEG35171	Ankyrin_repeat_protein	1030	1125	1548	1014	1426	1538	26	32	77	19	43	45	11	8	25	12	5	26	23	27	10	4	9	7	33	32	32	276	72	304	388	512	256	276	592	624	268	356	415	344	320	666	953	1154	412	1440	1360	1574
CEG35172	zinc_dhhc_domain_containing_3	1163	1318	1357	1333	1620	1431	20	37	53	10	47	45	32	21	31	27	21	37	44	37	18	20	23	12	63	42	70	541	154	465	780	808	440	496	712	875	423	407	498	511	532	812	570	604	397	717	881	854
CEG35173	Armadillo-type_fold	522	626	817	780	1175	1250	41	101	220	95	203	114	93	71	113	51	23	28	75	109	14	25	13	25	158	80	111	825	228	1301	1014	2459	960	1575	1892	1136	1649	1490	1030	1989	1847	1338	1956	4210	1724	4635	4477	1905
CEG35174	stip-like_protein	491	453	609	677	848	771	4	22	26	14	21	24	6	8	20	14	6	15	34	27	6	7	6	21	53	16	20	246	81	209	333	462	190	250	365	375	243	191	225	261	281	385	678	911	261	992	747	985
