Query_Id	Subject_Id	% Identity	Alignment length	Mismatch	Gapopenings	Query_start	Query_end	Subject_Start	Subject_end	E-value	Bit_Score	Coverage (%)
AvrLm4-7	CAQ53119.1	100	143	0	0	1	143	1	143	4.11E-102	299	100
Avr1-CO39	AAO14615.1	100	89	0	0	1	89	1	89	5.15E-59	186	100
Avr1-CO39	5ZNG_C	100	68	0	0	22	89	2	69	2.34E-43	146	100
MoHTR1	XP_016846009.1	100	198	0	0	1	198	1	198	1.54E-144	410	100
MoHTR2	XP_003720559.1	100	110	0	0	1	110	1	110	2.59E-75	228	100
AVR-Pita1	ACO58447.1	100	224	0	0	1	224	1	224	6.26E-167	469	100
AVR-Pita1	CCF55397.1	100	199	0	0	1	199	1	199	8.34E-147	417	100
Pwl1	QBZ53273.1	100	147	0	0	1	147	1	147	5.37E-103	301	100
AVR-Pia	AGM61352.1	100	85	0	0	1	85	1	85	8.20E-57	180	100
AVR-Pia	5JHJ_A	100	67	0	0	19	85	31	97	6.10E-43	145	100
BAS1	XP_003710761.1	100	115	0	0	1	115	1	115	4.67E-79	238	100
AvrPiz-t	XP_003721287.1	100	108	0	0	1	108	1	108	5.15E-75	228	100
AvrPiz-t	2LW6_A	100	80	0	0	19	98	1	80	7.86E-53	171	100
AVR-Pii	QNS36459.1	100	70	0	0	1	70	1	70	7.36E-44	146	100
AVR-Pii	7PP2_B	100	51	0	0	20	70	1	51	1.92E-29	109	100
AVR-Pik	AFJ38177.1	100	113	0	0	1	113	1	113	1.21E-78	237	100
AVR-Pik	5A6W_C	100	92	0	0	22	113	2	93	6.90E-63	197	100
AVR-Pik	7BNT_C	100	92	0	0	22	113	3	94	1.14E-62	196	100
BAS107	XP_003717485.1	100	132	0	0	1	132	1	132	4.66E-94	278	100
AvrPib	AKO62639.1	100	74	0	0	1	74	1	74	4.71E-45	149	100
BAS162	XP_003720234.1	100	118	0	0	1	118	1	118	9.53E-84	250	100
AvrPi9	XP_003721206.1	100	91	0	0	1	91	1	91	2.49E-60	189	100
AvrPi9	EAQ70901.1	100	82	0	0	1	82	1	82	3.10E-52	169	100
Pwl2	XP_003713046.1	100	145	0	0	1	145	1	145	3.60E-102	299	100
Vdlsc1	XP_009653134.1	100	190	0	0	1	190	1	190	1.14E-135	387	100
VdSCP7	XP_009654357.1	100	216	0	0	1	216	1	216	9.28E-154	436	100
VdSCP7	RBQ71866.1	100	151	0	0	1	151	1	151	1.46E-98	293	100
VdSCP41	XP_009655874.1	100	336	0	0	1	336	1	336	0	676	100
VdSCP41	KAF3356318.1	100	76	0	0	261	336	252	327	4.56E-43	162	100
UhAvr1	KAJ1041979.1	100	190	0	0	1	190	1	190	3.56E-137	391	100
Cmu1	XP_011391476.1	100	290	0	0	1	290	1	290	0	590	100
Cmu1	6FPF_A	100	269	0	0	22	290	2	270	0	549	100
See1	XP_011388579.1	100	157	0	0	1	157	1	157	7.07E-112	325	100
Jsi1	XP_011387170.1	100	641	0	0	1	641	1	641	0	1319	100
Tin2	XP_011392015.1	100	207	0	0	1	207	1	207	6.63E-151	427	100
ToxA	XP_001806667.1	100	178	0	0	1	178	1	178	8.63E-125	359	100
MISSP7	XP_001881946.1	100	68	0	0	1	68	1	68	1.41E-38	132	100
CgEP1	XP_008092955.1	100	348	0	0	1	348	1	348	0	622	100
PiAvr2a	XP_002902985.1	100	116	0	0	1	116	1	116	1.50E-77	234	100
PiAvr3b	XP_002997848.1	100	148	0	0	1	148	1	148	1.89E-104	305	100
PiAvr4	XP_002904419.1	100	287	0	0	1	287	1	287	0	591	100
PiAvrVnt1	XP_002897362.1	100	153	0	0	1	153	1	153	8.05E-105	306	100
PiAvrVnt1	XP_002909755.1	100	141	0	0	1	141	1	141	8.45E-95	281	100
PiAvrVnt1	QBF51168.1	100	130	0	0	24	153	1	130	9.99E-88	263	100
PiAvrVnt1	7XP9_A	100	84	0	0	64	147	1	84	5.32E-52	171	100
Avrblb1	XP_002895051.1	100	152	0	0	1	152	1	152	6.40E-105	306	100
Avrblb2	XP_002895922.1	100	100	0	0	1	100	1	100	3.19E-64	200	100
Avrblb2	ACX46605.1	100	92	0	0	9	100	1	92	7.11E-58	183	100
Avrblb2	QFR98633.1	100	72	0	0	25	96	1	72	1.96E-43	146	100
CRN1	Q8H6Z6.1	100	431	0	0	1	431	1	431	0	887	100
CRN1	XP_002997194.1	100	347	0	0	1	347	1	347	0	710	100
CRN2	Q8H6Z4.1	100	456	0	0	1	456	1	456	0	936	100
Avr2b	XP_002899606.1	100	114	0	0	1	114	1	114	3.01E-76	231	100
CRN8	Q2M405.1	100	599	0	0	1	599	1	599	0	1235	100
CRN16	Q2M3Z7.1	100	618	0	0	1	618	1	618	0	1285	100
PexRD2	G3KFL3.1	100	121	0	0	1	121	1	121	1.54E-81	245	100
PITG_03192	XP_002906277.1	100	144	0	0	1	144	1	144	2.21E-100	295	100
Avr1_PITG_16663	XP_002896893.1	100	208	0	0	1	208	1	208	1.60E-150	427	100
SNE1	XP_002900677.1	100	291	0	0	1	291	1	291	7.57E-180	508	100
SNE1	KAI9981202.1	100	162	0	0	1	162	1	162	7.21E-41	154	100
AVR1B-1	XP_009531296.1	100	138	0	0	1	138	1	138	2.06E-97	286	100
AVR1B-1	ETL77590.1	100	85	0	0	1	85	1	85	4.95E-51	176	100
Avh5	XP_009528278.1	100	135	0	0	1	135	1	135	1.65E-94	279	100
Avh241	XP_009536330.1	100	188	0	0	1	188	1	188	1.45E-133	382	100
Avr1k	XP_009531295.1	100	279	0	0	1	279	1	279	0	579	100
Avr1d	XP_009529977.1	100	125	0	0	1	125	1	125	3.83E-87	259	100
CRN63	XP_009518196.1	100	450	0	0	1	450	1	450	0	919	100
PsAvr3b	XP_009522373.1	100	314	0	0	1	314	1	314	0	638	100
PsAvr3c	XP_009527934.1	100	220	0	0	1	220	1	220	5.21E-159	449	100
PsAvr4_6	XP_009527974.1	100	123	0	0	1	123	1	123	4.30E-82	247	100
Avr3b	AEI75280.1	100	227	0	0	1	227	1	227	2.50E-160	453	100
Pslsc1	XP_009514537.1	100	210	0	0	1	210	1	210	9.71E-153	432	100
Avh18a1	XP_009518240.1	100	106	0	0	1	106	1	106	1.21E-70	216	100
Avr1a	XP_009532444.1	100	121	0	0	1	121	1	121	1.93E-79	240	100
Avr3a	XP_009534441.1	100	111	0	0	1	111	1	111	5.82E-75	228	100
Avr3a	XP_009534444.1	100	111	0	0	1	111	354	464	2.17E-70	228	100
ATR1	AAX51205.1	100	324	0	0	1	324	1	324	0	671	100
ATR5	M4C699.1	100	367	0	0	1	367	1	367	0	758	100
ATR39-1	H9BPR8.1	100	185	0	0	1	185	1	185	1.39E-130	374	100
AvrSr27	KAA1101090.1	100	144	0	0	1	144	1	144	1.24E-101	298	100
AvrPm1a	QSV27513.1	100	155	0	0	1	155	1	155	1.27E-111	324	100
AvrPm2	APO13050.1	100	119	0	0	1	119	1	119	1.86E-82	247	100
AvrPm2	8OXI_A	100	98	0	0	22	119	7	104	3.43E-66	206	100
AvrPm2	EPQ62969.1	100	85	0	0	1	85	1	85	4.17E-55	177	100
AVRa7	CCU75994.1	100	112	0	0	1	112	1	112	1.05E-77	235	100
AVRa9	CCU74508.1	100	102	0	0	1	102	1	102	1.53E-69	213	100
AVRa10	CCU74487.1	100	118	0	0	1	118	1	118	1.26E-82	248	100
Avr-Pi54	XP_003716196.1	100	153	0	0	1	153	1	153	3.74E-105	307	100
Avr-Pi54	CCN97969.1	100	152	0	0	1	152	1	152	4.81E-104	305	100
OSP24	XP_011323061.1	100	136	0	0	1	136	1	136	1.16E-94	280	100
PvRXLR131	P0CU91.1	100	158	0	0	1	158	1	158	9.12E-111	322	100
PaRXLR24	QMU24848.1	100	131	0	0	1	131	1	131	1.75E-88	263	100
PexRD24	XP_002905959.1	100	154	0	0	1	154	1	154	1.09E-106	311	100
PexRD24	ACX46551.1	100	132	0	0	23	154	1	132	1.08E-89	268	100
PexRD24	8PQ7_B	100	87	0	0	68	154	3	89	1.71E-55	180	100
PITG_22926	XP_002901758.1	100	198	0	0	1	198	1	198	2.39E-144	410	100
PITG_22926	KAI9997487.1	100	105	0	0	94	198	1	105	9.87E-71	221	100
SpHTP1	D3JZP7.1	100	198	0	0	1	198	1	198	1.59E-140	400	100
SpHTP3	XP_012197543.1	100	211	0	0	1	211	1	211	2.54E-154	436	100
RxLR	XP_009538063.1	100	670	0	0	1	670	1	670	0	1355	100
RxLR	7XVK_B	100	612	0	0	59	670	1	612	0	1230	100
SsSSVP1	XP_001597872.1	100	163	0	0	1	163	1	163	1.79E-116	337	100
SAD1	CBQ70099.1	100	180	0	0	1	180	1	180	1.68E-130	374	100
SP7	AEK82122.1	100	311	0	0	1	311	1	311	0	512	100
SP7	GBC50382.2	100	87	0	0	1	87	1	87	2.12E-48	167	100
ATR13	AAW63763.1	100	187	0	0	1	187	1	187	1.58E-131	377	100
ATR13	AAQ83515.1	100	123	0	0	65	187	1	123	3.50E-81	247	100
ATR1	M4B6G6.1	100	311	0	0	1	311	1	311	0	645	100
AVR3a	XP_002898842.1	100	147	0	0	1	147	1	147	2.65E-104	305	100
AVR3a	QBF76348.1	100	75	0	0	73	147	1	75	2.54E-47	158	100
PSTSCR1	KAH9458108.1	100	116	0	0	1	116	1	116	6.25E-80	241	100
PSTSCR1	POW15657.1	100	96	0	0	21	116	73	168	1.42E-64	204	100
CSEP0055	CCU77283.1	100	122	0	0	1	122	1	122	7.71E-86	256	100
AVR9	XP_047764672.1	100	63	0	0	1	63	1	63	5.93E-37	128	100
AVR4	XP_047763941.1	100	135	0	0	1	135	1	135	3.41E-90	268	100
AVR4	6BN0_A	100	79	0	0	35	113	1	79	4.37E-49	162	100
AVR4	UEP18203.1	100	63	0	0	49	111	124	186	9.05E-36	134	100
AVR4E	XP_047764739.1	100	121	0	0	1	121	1	121	1.24E-84	253	100
AVR2	XP_047766903.1	100	78	0	0	1	78	1	78	6.61E-48	157	100
AVR5	AHY02126.1	100	103	0	0	1	103	1	103	8.42E-70	214	100
ECP6	XP_047764299.1	100	228	0	0	1	228	1	228	1.25E-161	456	100
ECP2	XP_047755993.1	100	165	0	0	1	165	1	165	5.71E-116	336	100
ECP1	XP_047769011.1	100	96	0	0	1	96	1	96	3.17E-64	199	100
ECP5	XP_047758939.1	100	115	0	0	1	115	1	115	2.14E-79	239	100
ECP4	XP_047757225.1	100	119	0	0	1	119	1	119	7.11E-82	246	100
ECP7	XP_047767345.1	100	116	0	0	1	116	1	116	1.53E-81	245	100
CFTOM1	XP_047765683.1	100	344	0	0	1	344	1	344	0	713	100
AVRLM1	CAJ29326.1	100	205	0	0	1	205	1	205	4.94E-150	425	100
SIX1	ACY39281.1	100	284	0	0	1	284	1	284	0	599	100
SIX1	QMX85365.1	100	280	0	0	5	284	1	280	0	589	100
SIX1	WNN29023.1	100	274	0	0	6	279	1	274	0	578	100
SIX1	7T69_A	100	263	0	0	22	284	4	266	0	556	100
SIX1	ALI88770.1	100	72	0	0	6	77	1	72	2.32E-43	153	100
SIX1	QBQ34258.1	100	69	0	0	10	78	1	69	1.59E-40	146	100
SIX1	AIY35168.1	100	68	0	0	10	77	1	68	8.19E-40	144	100
SIX1	ACN39564.1	100	46	0	0	218	263	1	46	3.53E-23	100	100
SIX4	ACY39284.1	100	242	0	0	1	242	1	242	1.05E-180	506	100
SIX4	BAU98376.1	100	200	0	0	1	200	1	200	1.56E-145	416	100
SIX4	7T6A_A	100	184	0	0	59	242	1	184	6.25E-136	390	100
SIX4	ACO48424.1	100	115	0	0	65	179	1	115	9.40E-79	243	100
SIX4	ACO48423.1	100	114	0	0	66	179	1	114	4.45E-78	241	100
MSP1	XP_003710181.1	100	137	0	0	1	137	1	137	2.35E-93	276	100
BAS4	XP_003717679.1	100	102	0	0	1	102	1	102	5.84E-69	212	100
MC69	XP_003720889.1	100	54	0	0	1	54	1	54	3.27E-30	110	100
SLP1	XP_003717420.1	100	162	0	0	1	162	1	162	8.53E-109	317	100
NIP1	AAA86496.1	100	82	0	0	1	82	1	82	2.23E-51	166	100
NIP1	1KG1_A	100	60	0	0	23	82	1	60	9.91E-35	123	100
PEP1	XP_011387901.1	100	178	0	0	1	178	1	178	1.55E-127	366	100
RSP3	XP_011389687.1	100	869	0	0	1	869	1	869	0	1617	100
TOXB	AAK31287.1	100	87	0	0	1	87	1	87	5.71E-54	173	100
TOXB	AAO49373.1	100	79	0	0	9	87	1	79	3.35E-47	155	100
TOXB	QZP12098.1	100	77	0	0	10	86	1	77	3.40E-45	150	100
TOXB	2MM0_A	100	64	0	0	24	87	1	64	4.29E-37	129	100
MG1LYSM	XP_003850050.1	100	97	0	0	1	97	1	97	6.67E-64	199	100
MG1LYSM	6Q40_A	100	78	0	0	20	97	2	79	2.57E-50	164	100
XYLA	XP_011325371.1	100	231	0	0	1	231	1	231	1.48E-167	471	100
FGB1	CCA69312.2	100	104	0	0	1	104	1	104	1.22E-69	214	100
FGB1	CAG7852876.1	100	82	0	0	1	82	23	104	4.02E-53	172	100
LYSM1	XP_016599271.1	100	422	0	0	1	422	1	422	0	853	100
NIS1	N4VG36.1	100	162	0	0	1	162	1	162	1.11E-108	317	100
INF1	XP_002900428.1	100	118	0	0	1	118	1	118	1.19E-76	233	100
INF1	AAW63622.1	100	108	0	0	1	108	1	108	2.79E-69	214	100
INF1	AAB31120.1	100	98	0	0	21	118	1	98	6.68E-62	194	100
EPI10	XP_002908039.1	100	150	0	0	1	150	1	150	8.57E-108	314	100
EPI10	KAI9987540.1	100	139	0	0	1	139	1	139	4.91E-99	299	100
EPI10	KAF4042842.1	100	97	0	0	54	150	1	97	3.87E-66	207	100
INF2B	AAB94815.1	100	189	0	0	1	189	1	189	3.16E-124	358	100
INF2B	KAI9989011.1	100	136	0	0	1	136	1	136	3.79E-88	267	100
EPIC1	XP_002903480.1	100	126	0	0	1	126	1	126	6.61E-87	259	100
EPI1	KAF4147921.1	100	149	0	0	1	149	34	182	8.00E-106	310	100
EPI1	XP_002908042.1	100	149	0	0	1	149	1	149	4.88E-105	307	100
GIP	XP_009538335.1	100	289	0	0	1	289	1	289	0	592	100
PSXEG1	XP_009525815.1	100	241	0	0	1	241	1	241	6.21E-171	481	100
GP42	XP_009534000.1	100	529	0	0	1	529	1	529	0	1091	100
NIP1	XP_009530177.1	100	237	0	0	1	237	1	237	2.12E-175	492	100
GIP	XP_009538431.1	100	257	0	0	1	257	1	257	0	525	100
CBEL	ETI43814.1	100	268	0	0	1	268	38	305	0	534	100
CBEL	ETP13625.1	100	268	0	0	1	268	38	305	0	533	100
CBEL	CAA65843.1	100	268	0	0	1	268	1	268	0	531	100
OPEL	AAP85258.1	100	556	0	0	1	556	1	556	0	1154	100
NPP1	Q9AT28.1	100	237	0	0	1	237	1	237	3.85E-173	486	100
NPP1	ETI39300.1	100	237	0	0	1	237	21	257	4.78E-173	487	100
NPP1	XP_008910851.1	100	237	0	0	1	237	22	258	6.45E-173	486	100
PCF	AAK63068.1	100	73	0	0	1	73	1	73	9.53E-46	151	100
PCF	2BIC_A	100	52	0	0	22	73	1	52	3.26E-30	111	100
ECP11-1	XP_047761549.1	100	165	0	0	1	165	1	165	6.98E-120	345	100
NIS1	N4VG36.1	100	162	0	0	1	162	1	162	1.11E-108	317	100
CCE1	XP_011389576.1	100	129	0	0	1	129	1	129	1.09E-90	269	100
HUM3	XP_011391123.1	100	768	0	0	1	768	61	828	0	1532	100
RSP1	XP_011392460.1	100	260	0	0	1	260	1	260	2.10E-174	491	100
HACR1	AAQ83522.1	100	127	0	0	1	127	1	127	2.13E-87	260	100
PC2	XP_002898903.1	100	208	0	0	1	208	1	208	3.29E-150	426	100
EPIC3	XP_002899073.1	100	131	0	0	1	131	1	131	1.28E-90	269	100
EPIC4	XP_002908692.1	100	172	0	0	1	172	1	172	3.05E-120	347	100
EPIC4	KAF4029679.1	100	164	0	0	1	164	1	164	2.69E-111	329	100
EPIC4	KAI9997965.1	100	164	0	0	1	164	1	164	3.41E-111	328	100
EPIC4	KAF4135358.1	100	164	0	0	1	164	1	164	3.64E-111	328	100
EPI2	XP_002908039.1	100	150	0	0	1	150	1	150	8.57E-108	314	100
EPI2	KAI9987540.1	100	139	0	0	1	139	1	139	4.91E-99	299	100
EPI2	KAF4042842.1	100	97	0	0	54	150	1	97	3.87E-66	207	100
EPI6	XP_002999082.1	100	321	0	0	1	321	1	321	0	646	100
SCR	XP_002903386.1	100	202	0	0	1	202	1	202	4.70E-147	417	100
SCR	KAF4041998.1	100	102	0	0	1	102	1	102	9.53E-68	213	100
